,CONTROL,AGE1,METRO3,REGION,LMED,FMR,L30,L50,L80,IPOV,BEDRMS,BUILT,STATUS,TYPE,VALUE,VACANCY,TENURE,NUNITS,ROOMS,WEIGHT,PER,ZINC2,ZADEQ,ZSMHC,STRUCTURETYPE,OWNRENT,UTILITY,OTHERCOST,COST06,COST12,COST08,COSTMED,TOTSAL,ASSISTED,GLMED,GL30,GL50,GL80,APLMED,ABL30,ABL50,ABL80,ABLMED,BURDEN,INCRELAMIPCT,INCRELAMICAT,INCRELPOVPCT,INCRELPOVCAT,INCRELFMRPCT,INCRELFMRCAT,COST06RELAMIPCT,COST06RELAMICAT,COST06RELPOVPCT,COST06RELPOVCAT,COST06RELFMRPCT,COST06RELFMRCAT,COST08RELAMIPCT,COST08RELAMICAT,COST08RELPOVPCT,COST08RELPOVCAT,COST08RELFMRPCT,COST08RELFMRCAT,COST12RELAMIPCT,COST12RELAMICAT,COST12RELPOVPCT,COST12RELPOVCAT,COST12RELFMRPCT,COST12RELFMRCAT,COSTMedRELAMIPCT,COSTMedRELAMICAT,COSTMedRELPOVPCT,COSTMedRELPOVCAT,COSTMedRELFMRPCT,COSTMedRELFMRCAT,FMTZADEQ,FMTMETRO3,FMTBUILT,FMTSTRUCTURETYPE,FMTBEDRMS,FMTOWNRENT,FMTCOST06RELPOVCAT,FMTCOST08RELPOVCAT,FMTCOST12RELPOVCAT,FMTCOSTMEDRELPOVCAT,FMTINCRELPOVCAT,FMTCOST06RELFMRCAT,FMTCOST08RELFMRCAT,FMTCOST12RELFMRCAT,FMTCOSTMEDRELFMRCAT,FMTINCRELFMRCAT,FMTCOST06RELAMICAT,FMTCOST08RELAMICAT,FMTCOST12RELAMICAT,FMTCOSTMEDRELAMICAT,FMTINCRELAMICAT,FMTASSISTED,FMTBURDEN,FMTREGION,FMTSTATUS
10,'100010190149',59,'5','3',55846,949,13750,22897,36614,15492,3,1985,'1',1,230000,-6,'1',1,5,2150.5923620999997,2,85987,'1',1564,1,'1',172.0,41.666666667,1742.2362537000001,2630.3947423,2020.0593346,1550.005258,60000,-9,55846,13750,22897,36614,44676.8,17875.0,29766.1,47598.2,58079.84,0.21826555179999999,192.46454536,7,555.04131164,4,226.52002107,3,119.98905326,6,449.84153208,4,183.58653885,3,139.12292696,7,521.57483465,4,212.86188984,3,181.15716175,7,679.16208167,4,277.17542069,3,106.74996749,6,400.20791583,4,163.33037492,3,'1 Adequate','-5','1980-1989','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','6 100 - 120% AMI','7 120% AMI +','7 120% AMI +','6 100 - 120% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
11,'100013130103',54,'1','2',64362,1239,15429,25701,41108,15452,5,2005,'1',1,200000,-6,'1',1,9,2791.9951078000004,2,196974,'1',1493,1,'1',467.58333333,75.0,1871.7742786,2644.0860078,2113.3595663,1704.6168910000001,197000,-9,64362,15429,25701,41108,51489.6,24686.4,41121.6,65772.8,82383.36,0.0909561668,382.55103943,7,1274.7476055,4,397.44552058,3,90.88118176299999,5,484.53903148,4,151.07137035,3,102.61099165,6,547.07728872,4,170.56977936,3,128.3796149,7,684.46440792,4,213.40484324,3,82.76510649800001,5,441.26763939999995,4,137.58005577,3,'1 Adequate','Central City','2000-2009','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','5 80 - 100% AMI','6 100 - 120% AMI','7 120% AMI +','5 80 - 100% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
12,'100013330103',25,'1','2',64362,751,15429,25701,41108,15492,2,2009,'1',1,-6,-6,'2',12,4,1934.5650818,2,60974,'1',993,3,'2',135.0,8.3333333333,993.0,993.0,993.0,993.0,61000,0,64362,15429,25701,41108,51489.6,17357.625,28913.625,46246.5,57925.8,0.1954275593,118.42003045,6,393.58378518,4,202.97603196,3,68.570481547,4,256.39039504,4,132.22370173,3,68.570481547,4,256.39039504,4,132.22370173,3,68.570481547,4,256.39039504,4,132.22370173,3,68.570481547,4,256.39039504,4,132.22370173,3,'1 Adequate','Central City','2000-2009','3 5-19 units','2 2BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','4 60 - 80% AMI','4 60 - 80% AMI','4 60 - 80% AMI','4 60 - 80% AMI','6 100 - 120% AMI','0 Not Assisted','1 Less than 30%','-5','-5'
13,'100013430103',53,'3','2',64182,1002,17221,28686,45888,18126,3,2007,'1',1,300000,-6,'1',1,7,2840.9549896,3,92507,'1',1229,1,'1',152.16666667,75.0,2220.9530846000002,3379.4206784000003,2583.3310161,1970.2170032000001,30000,-9,64182,17221,28686,45888,57763.8,19899.822222,33148.266667,53026.133333,66749.28,0.1594257732,160.14701249,7,510.35529074,4,230.80588822,3,133.09225715,7,490.1143296,4,221.65200445,3,154.80802287,7,570.08297829,4,257.81746668,3,202.514285,7,745.7620387000001,4,337.26753277,3,118.06671192,6,434.78252305,4,196.62844343,3,'1 Adequate','-5','2000-2009','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','6 100 - 120% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
14,'100013430203',52,'3','2',64182,1114,19110,31851,50952,24218,4,2009,'1',1,380000,-6,'1',1,9,2840.9549896,4,184574,'1',2147,1,'1',364.0,30.416666666999998,2919.8794626999997,4387.2717482,3378.8915093,2602.2804263,181000,-9,64182,19110,31851,50952,64182.0,22167.6,36947.16,59104.32,74451.12,0.1395862906,287.57907201,7,762.13560162,4,414.21454219,3,156.87497852,7,482.26599433,4,262.10767169999997,3,181.53610097,7,558.0793639999999,4,303.31162561,3,235.71286762,7,724.62990307,4,393.83049804,3,139.81148578,7,429.80930321,4,233.59788387,3,'1 Adequate','-5','2000-2009','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','.','1 Less than 30%','-5','-5'
15,'100013500140',67,'1','2',64362,1239,13514,22496,35977,11057,5,1985,'1',1,300000,-6,'1',1,9,2428.3546915999996,1,66000,'1',2191,1,'1',469.83333333,111.0,2574.6197512,3733.0873450000004,2936.9976828000003,2323.8836699000003,40000,-9,64362,13514,22496,35977,45053.4,24711.314286,41135.542857,65786.514286,82383.36,0.3983636364,146.49282851,7,596.90693678,4,133.17191283,3,125.00678541,7,931.39902369,4,207.7982043,3,142.60150025,7,1062.4935092,4,237.04581782,3,181.25443512,7,1350.4883223,4,301.29841364,3,112.83267251,6,840.69229262,4,187.56123243,3,'1 Adequate','Central City','1980-1989','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','6 100 - 120% AMI','7 120% AMI +','.','2 30% to 50%','-5','-5'
16,'100014130103',22,'5','3',55846,706,15473,25764,41189,18595,2,2005,'1',1,-6,-6,'2',8,4,2524.1643731,3,41974,'1',600,3,'2',50.083333333,15.0,600.0,600.0,600.0,600.0,42000,0,55846,15473,25764,41189,50261.4,15473.0,25764.0,41189.0,50261.4,0.1715347596,83.51140238800001,5,225.72734606,4,148.63314448,3,47.750361112,2,129.06695348,2,84.985835694,2,47.750361112,2,129.06695348,2,84.985835694,2,47.750361112,2,129.06695348,2,84.985835694,2,47.750361112,2,129.06695348,2,84.985835694,2,'1 Adequate','-5','2000-2009','3 5-19 units','2 2BR','2 Renter','2 100-150% Poverty','2 100-150% Poverty','2 100-150% Poverty','2 100-150% Poverty','4 200%+ Poverty','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','3 GT FMR','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','5 80 - 100% AMI','0 Not Assisted','1 Less than 30%','-5','-5'
17,'100014350142',55,'2','1',77566,1277,21190,35314,53446,18050,3,1980,'1',1,230000,-6,'1',1,6,2918.3270871,3,94755,'1',1370,1,'1',332.83333333,45.833333333,1907.2362537000001,2795.3947423,2185.0593346,1715.005258,89675,-9,77566,21190,35314,53446,69809.4,24486.222222,40807.288888999996,61759.822222,80668.64,0.17350007920000002,135.73386965,7,524.95844875,4,185.50313234,3,94.57138505,5,422.65623351,4,149.35287813,3,108.34739917,6,484.22367526,4,171.10879676,3,138.61122450000002,7,619.47805924,4,218.90326878,3,85.039502736,5,380.05656687,4,134.29955035,3,'1 Adequate','-5','1980-1989','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','5 80 - 100% AMI','6 100 - 120% AMI','7 120% AMI +','5 80 - 100% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
18,'100015770147',57,'2','2',63400,993,19000,31700,50700,23828,3,1980,'1',1,150000,-6,'1',1,9,2534.642076,4,91961,'1',1308,1,'1',245.66666667,37.5,1280.0598756,1859.2936725000002,1461.2488414000002,1154.6918349000002,73000,-9,63400,19000,31700,50700,63400.0,19760.0,32968.0,52728.0,65936.0,0.1706810496,145.0488959,7,385.93671311,4,231.52316213,3,77.654687917,4,214.88330966,4,128.90834598,3,88.64649608100001,5,245.29945298,4,147.15496892,3,112.79384085,6,312.11913254,4,187.24004758,3,70.049249875,4,193.83781013,3,116.28316565,3,'1 Adequate','-5','1980-1989','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 150-200% Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','4 60 - 80% AMI','5 80 - 100% AMI','6 100 - 120% AMI','4 60 - 80% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
19,'100019710141',84,'2','4',69500,975,14850,24740,39151,11067,2,1980,'1',1,300000,-6,'1',1,5,2226.8036202,1,28000,'1',355,1,'1',145.16666667,75.0,2213.9530846000002,3372.4206784000003,2576.3310161,1963.2170032000001,0,-9,69500,14850,24740,39151,48650.0,19092.857143,31808.571429000003,50337.0,62550.0,0.1521428571,57.553956835,3,253.00442758,4,71.794871795,2,141.57973363,7,800.19990407,4,227.07211124,3,164.75338233,7,931.17593427,4,264.23907858,3,215.6623935,7,1218.910519,4,345.88930035,3,125.54545184,7,709.57513443,4,201.35559007,3,'1 Adequate','-5','1980-1989','1 Single Family','2 2BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','2 50.1 - 100% FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','3 50 - 60% AMI','.','1 Less than 30%','West','-5'
20,'100022130103',55,'5','4',59156,794,14594,24335,38888,15439,2,2004,'1',1,60000,-6,'1',1,6,2880.5067914,2,25441,'1',480,1,'1',65.0,40.0,503.75728358,735.45080234,576.23286989,453.61006731,0,-9,59156,14594,24335,38888,47324.8,16418.25,27376.875,43749.0,53240.4,0.22640619469999998,53.758283183,3,164.7839886,3,80.103904282,2,37.847745966,2,130.51552136,2,63.445501711000006,2,43.292903126000006,2,149.29279614,2,72.57340930699999,2,55.255092174,3,190.54363685,3,92.626045635,2,34.080139691,2,117.52317308,2,57.12973139899999,2,'1 Adequate','-5','2000-2009','1 Single Family','2 2BR','1 Owner','2 100-150% Poverty','2 100-150% Poverty','3 150-200% Poverty','2 100-150% Poverty','3 150-200% Poverty','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 30 - 50% AMI','2 30 - 50% AMI','3 50 - 60% AMI','2 30 - 50% AMI','3 50 - 60% AMI','.','1 Less than 30%','West','-5'
21,'100022330103',74,'4','4',56545,752,14257,23765,37949,13984,2,2003,'1',1,40000,-6,'1',1,4,3152.3427451,2,44340,'1',282,1,'1',109.0,8.75,383.58818905,538.05053489,431.9052466,350.15671154,0,-9,56545,14257,23765,37949,45236.0,16039.125,26735.625,42692.625,50890.5,0.0763193505,98.01927668200001,5,317.07665904,4,147.40691489,3,30.150082161,1,109.72202204,2,51.009067693,2,33.947809245,2,123.54269067,2,57.434208324,2,42.29084288,2,153.90461524,3,71.549273257,2,27.522363626999997,1,100.15924243,2,46.563392492,1,'1 Adequate','-5','2000-2009','1 Single Family','2 2BR','1 Owner','2 100-150% Poverty','2 100-150% Poverty','3 150-200% Poverty','2 100-150% Poverty','4 200%+ Poverty','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','1 LTE 50% FMR','3 GT FMR','1 LTE 30% AMI','2 30 - 50% AMI','2 30 - 50% AMI','1 LTE 30% AMI','5 80 - 100% AMI','.','1 Less than 30%','West','-5'
22,'100022990149',67,'5','4',59156,794,14594,24335,38888,13936,2,1990,'1',1,290000,-6,'1',1,6,3304.5814222,2,122975,'1',479,1,'1',141.83333333,95.833333333,2164.9935373000003,3284.8455446,2515.2922045,1922.6153252999998,0,-9,59156,14594,24335,38888,47324.8,16418.25,27376.875,43749.0,53240.4,0.0467412076,259.8531848,7,882.42680827,4,387.20088161,3,162.65794677,7,621.41031496,4,272.66921125,3,188.97620638,7,721.95528258,4,316.7874313,3,246.79345344,7,942.83741235,4,413.70850688,3,144.44784978,7,551.84136777,4,242.14298807,3,'1 Adequate','-5','1990-1999','1 Single Family','2 2BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','.','1 Less than 30%','West','-5'
23,'100024720144',70,'5','4',59156,1102,14594,24335,38888,13964,3,1990,'1',1,230000,-6,'1',1,7,3522.8018658,2,56343,'1',573,1,'1',282.5,73.333333333,1884.4029204,2772.561409,2162.2260013,1692.1719247,0,-9,59156,14594,24335,38888,47324.8,18972.2,31635.5,50554.4,61522.24,0.12203823009999999,119.05597065,6,403.48753939,4,127.81987296,3,122.51848570000001,7,539.7888629,4,170.99845013,3,140.58174743,7,619.37152715,4,196.20925601,3,180.26400918,7,794.20263792,4,251.59359428,3,110.02017642,6,484.72412623,4,153.55462111,3,'1 Adequate','-5','1990-1999','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','6 100 - 120% AMI','6 100 - 120% AMI','.','1 Less than 30%','West','-5'
